English (en),Finnish (fi),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
comparatively,verrattain,0,0,0,0,0,0,0,0,0,0
comparison,vertailu,0,0,0,0,0,0,0,0,0,0
compartment,lokero,0,0,0,0,0,0,0,0,0,0
compass,kompassi,0,0,0,0,0,0,0,0,0,1
compassion,myötätunto,1,0,0,0,0,1,0,0,0,0
compassionate,myötätuntoinen,1,0,0,0,0,0,0,0,0,0
compatibility,yhteensopivuus,1,0,0,0,0,0,0,0,0,0
compatible,yhteensopiva,1,0,0,0,0,0,0,0,0,0
compel,pakottaa,0,0,0,0,0,0,0,0,0,0
compelled,pakko,0,0,0,0,0,0,0,0,0,0
compelling,pakottava,1,0,0,0,0,0,0,0,0,0
compendium,tiivistelmä,0,0,0,0,0,0,0,0,0,0
compensate,hyvittää,1,0,0,1,0,0,1,0,1,1
compensation,korvaus,0,0,0,0,0,0,0,0,0,0
compensatory,korvaavia,1,0,0,0,0,0,0,0,0,0
competence,pätevyys,1,0,0,0,0,0,0,0,0,1
competency,pätevyys,1,0,0,0,0,0,0,0,0,1
competent,pätevä,1,0,0,0,0,0,0,0,0,1
competition,kilpailu,0,1,0,1,0,0,0,0,0,0
competitive,kilpailukykyinen,0,0,0,0,0,0,0,0,0,0
competitor,kilpailija,0,0,0,0,0,0,0,0,0,0
compilation,kokoelma,0,0,0,0,0,0,0,0,0,0
compile,koota,0,0,0,0,0,0,0,0,0,0
complacency,omahyväisyys,1,0,0,0,0,0,0,0,0,0
complacent,omahyväinen,0,0,0,0,0,0,0,0,0,0
complain,kannella,0,1,1,0,0,0,0,1,0,0
complaint,valitus,0,1,1,0,0,0,0,0,0,0
complement,täydentää,1,0,0,1,0,0,1,0,1,1
complementary,täydentävä,1,0,0,0,0,0,0,0,0,0
completed,valmistunut,0,0,0,0,0,0,0,0,0,0
completely,täysin,1,0,0,0,0,0,0,0,0,0
completeness,täydellisyys,1,0,0,0,0,0,0,0,0,0
completing,Suoritettuaan,1,0,0,1,0,0,1,0,0,0
completion,valmistuminen,1,0,0,1,0,0,1,0,0,0
complex,monimutkainen,0,0,0,0,0,0,0,0,0,0
complexed,kompleksoitu,0,1,0,0,0,0,0,0,0,0
complexion,ihonväri,0,0,0,0,0,0,0,0,0,0
complexity,monimutkaisuus,0,1,0,0,0,0,0,0,0,0
compliance,noudattaminen,1,0,0,0,0,0,0,0,0,1
compliant,mukautuva,1,0,0,0,0,0,0,0,0,0
complicate,hankaloittaa,0,1,1,0,0,0,0,0,0,0
complicated,monimutkainen,0,1,0,0,0,0,0,0,0,0
complication,komplikaatio,0,1,0,0,0,0,0,0,0,0
complicity,rikoskumppanuus,1,1,0,0,0,0,0,0,0,0
compliment,NO TRANSLATION,1,0,0,1,0,0,1,0,1,1
comply,täytettävä,0,0,0,0,0,0,0,0,0,0
complying,täyttävät,0,0,0,0,0,0,0,0,0,0
compo,Compo,0,0,0,0,0,0,0,0,0,0
component,komponentti,0,0,0,0,0,0,0,0,0,0
compose,säveltää,0,0,0,0,0,0,0,0,0,0
composed,kokoonpanossa,1,0,0,0,0,0,0,0,0,0
composer,säveltäjä,1,0,0,0,0,0,0,0,0,0
composite,yhdistelmä,0,0,0,0,0,0,0,0,0,0
composition,sävellys,0,0,0,0,0,0,0,0,0,0
compost,komposti,0,1,0,0,1,0,0,0,0,0
composure,maltti,1,0,0,0,0,0,0,0,0,0
compound,yhdiste,0,0,0,0,0,0,0,0,0,0
comprehend,ymmärtää,1,0,0,0,0,0,0,0,0,0
comprehension,ymmärtäminen,0,0,0,0,0,0,0,0,0,0
comprehensive,kattava,1,0,0,0,0,0,0,0,0,0
compress,puristaa,0,0,1,0,0,0,0,0,0,0
compressed,tiivistetty,0,0,0,0,0,0,0,0,0,0
compressible,puristuva,0,0,0,0,0,0,0,0,0,0
compression,puristus,0,0,0,0,0,0,0,0,0,0
comprise,käsittää,0,0,0,0,0,0,0,0,0,0
compromise,vaarantaa,0,0,0,0,0,0,0,0,0,0
comptroller,tilintarkastaja,0,0,0,0,0,0,0,0,0,1
compulsion,pakko,0,1,1,0,0,0,0,0,0,0
compulsory,pakollinen,0,1,0,0,0,0,0,0,0,0
computable,laskettavissa,0,0,0,0,0,0,0,0,0,0
computation,laskeminen,0,0,0,0,0,0,0,0,0,0
compute,laskea,0,0,0,0,0,0,0,0,0,0
computer,tietokone,0,0,0,0,0,0,0,0,0,0
comrade,toveri,1,0,0,0,0,0,0,0,0,1
con,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
concatenation,ketju,0,0,0,0,0,0,0,0,0,0
concave,kovera,0,0,0,0,0,0,0,0,0,0
conceal,salata,0,1,0,0,0,0,0,1,0,0
concealed,piilotettu,0,1,0,1,0,1,0,0,1,0
concealment,salaaminen,0,1,1,1,0,1,0,0,0,0
conceit,itserakkaus,0,1,0,0,0,0,0,0,0,0
conceited,omahyväinen,0,1,0,0,0,0,0,0,0,0
conceivable,mahdollinen,0,0,0,0,0,0,0,0,0,0
concentrate,keskittää,0,0,0,0,0,0,0,0,0,0
concentration,keskittyminen,0,0,0,0,0,0,0,0,0,0
concentric,samankeskinen,1,0,0,0,0,0,0,0,0,0
conception,käsitys,0,0,0,0,0,0,0,0,0,0
concern,koskea,0,0,0,0,0,0,0,0,0,0
concerned,huolestunut,0,0,0,0,0,1,0,1,0,0
concert,konsertti,0,0,0,0,0,0,0,0,0,0
concession,myönnytys,0,0,0,0,0,0,0,0,0,0
concessional,ehdoin,0,0,0,0,0,0,0,0,0,0
concierge,portinvartija,0,0,0,0,0,0,0,0,0,0
conciliation,sovittelu,1,0,0,0,0,0,1,0,0,1
concise,suppea,0,0,0,0,0,0,0,0,0,0
conclave,konklaavi,0,0,0,0,0,0,0,0,0,0
conclude,solmia,0,0,0,0,0,0,0,0,0,0
concluding,päätös-,1,0,0,0,0,0,0,0,0,0
conclusion,johtopäätös,0,0,0,0,0,0,0,0,0,0
concoction,keitos,0,0,0,0,0,0,0,0,0,0
concomitant,liittyvä,0,0,0,0,0,0,0,0,0,0
concord,sopu,1,0,0,0,0,0,0,0,0,1
concordance,konkordanssin,1,0,0,0,0,0,0,0,0,1
concours,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
concourse,väenpaljous,0,0,0,0,0,0,0,0,0,0
concrete,betoni,0,0,0,0,0,0,0,0,0,0
concurrence,suostumus,0,0,0,0,0,0,0,0,0,0
concurrent,samanaikainen,0,0,0,0,0,0,0,0,0,0
concurring,concurring,0,0,0,0,0,0,0,0,0,0
concussion,aivotärähdys,0,1,1,0,0,0,0,1,0,0
condemn,tuomita,0,1,1,0,0,0,0,0,0,0
condemnation,tuomitseminen,0,1,1,1,1,1,0,1,0,0
condensation,tiivistyminen,0,0,0,0,0,0,0,0,0,0
condensed,tiivistyneen,0,0,0,0,0,0,0,0,0,0
condescending,alentuva,0,1,0,0,0,0,0,0,0,0
condescension,alentuvaisuus,0,1,1,0,1,0,0,1,0,0
condiment,mauste,0,0,0,0,0,0,0,0,0,0
condition,kunto,0,0,0,0,0,0,0,0,0,0
conditional,ehdollinen,0,0,0,0,0,0,0,0,0,0
conditionally,ehdollisesti,0,0,0,0,0,0,0,0,0,0
conditioned,loppukäsitellyn,0,0,0,0,0,0,0,0,0,0
conditions,olosuhteet,0,0,0,0,0,0,0,0,0,0
condolence,surunvalittelut,1,0,0,0,0,0,0,1,0,0
condone,suvaita,1,0,0,0,0,0,0,0,0,0
conducive,edistävä,1,0,0,0,0,0,0,0,0,0
conduct,käytös,0,0,0,0,0,0,0,0,0,0
conduction,johtuminen,0,0,0,0,0,0,0,0,0,0
conductivity,johtokyky,1,0,0,0,0,0,0,0,0,0
conductor,kapellimestari,0,0,0,0,0,0,0,0,0,0
conduit,putki,0,0,0,0,0,0,0,0,0,0
cone,kartio,0,0,0,0,0,0,0,0,0,0
confederate,liittoutunut,1,0,0,0,0,0,0,0,0,1
confederation,valtioliitto,0,0,0,0,0,0,0,0,0,0
confer,antaa,0,0,0,0,0,0,0,0,0,0
conference,konferenssi,0,0,0,0,0,0,0,0,0,0
confess,tunnustaa,1,1,0,0,0,0,0,0,0,1
confession,tunnustus,0,1,0,1,0,1,0,1,1,0
confessional,rippituoli,0,0,0,0,0,1,0,0,0,1
confessions,Confessions,0,0,0,0,0,0,0,0,0,0
confide,tunnustaa jklle,0,0,0,0,0,0,0,0,0,1
confidence,luottamus,1,0,0,0,0,1,1,0,0,1
confident,luottavainen,1,0,0,0,0,0,1,0,0,1
confidential,salassa pidettävä,0,0,0,0,0,0,0,0,0,1
confidentially,NO TRANSLATION,0,0,0,0,0,0,0,0,0,1
configuration,kokoonpano,0,0,0,0,0,0,0,0,0,0
confine,rajoittaa,0,1,1,0,0,1,0,1,0,0
confined,rajoitettu,0,1,1,0,1,1,0,1,0,0
confinement,synnytys,0,1,1,0,0,1,0,1,0,0
confines,rajojen,0,0,0,0,0,0,0,0,0,0
confirm,vahvistaa,0,0,0,0,0,0,0,0,0,0
confirmation,vahvistus,0,0,0,0,0,0,0,0,0,1
confirmatory,Uudistettujen,0,0,0,0,0,0,0,0,0,0
confirmed,vahvistettu,1,0,0,0,0,0,0,0,0,1
confiscate,takavarikoida,0,1,1,0,0,0,0,1,0,0
confiscation,takavarikointi,0,1,0,0,0,0,0,0,0,0
conflagration,suurpalo,0,1,1,0,0,1,0,0,0,0
conflict,konflikti,0,1,1,0,0,1,0,1,0,0
conflicting,ristiriitainen,0,1,0,0,0,0,0,0,0,0
confluence,yhtymäkohta,0,0,0,0,0,0,0,0,0,0
conformance,vaatimustenmukaisuuden,1,0,0,0,0,0,0,0,0,0
conformation,NO TRANSLATION,0,0,0,0,0,0,0,0,0,0
conformity,yhdenmukaisuus,0,0,0,0,0,0,0,0,0,1
confound,hämmentää,0,1,0,0,0,0,0,0,0,0
confounded,kirottu,0,1,0,0,0,0,0,0,0,0
confront,kohdata,0,0,1,0,0,0,0,0,0,0
confuse,sekoittaa,0,1,0,0,0,0,0,0,0,0
confusion,sekaannus,0,1,1,0,0,1,0,0,0,0
congenial,samanhenkinen,1,0,0,0,0,0,0,0,0,0
congenital,synnynnäinen,0,0,0,0,0,0,0,0,0,0
congestion,ruuhka,0,1,0,0,0,0,0,0,0,0
conglomerate,monialayritys,0,0,0,0,0,0,0,0,0,1
conglomeration,rykelmä,0,0,0,0,0,0,0,0,0,0
congratulatory,onnittelu-,1,0,0,0,0,0,1,0,0,0
congregate,kokoontua,0,0,0,0,0,0,0,0,0,0
congregation,seurakunta,1,0,0,0,0,0,0,0,0,1
congress,kongressi,0,0,0,0,1,0,0,0,0,1
congressional,kongressin,0,0,0,0,0,0,0,0,0,0
congressman,kansanedustaja,0,0,0,0,0,0,0,0,0,1
congruence,kongruenssi,1,0,0,0,0,0,0,0,0,1
conic,kartiomainen,0,0,0,0,0,0,0,0,0,0
conical,kartiomainen,0,0,0,0,0,0,0,0,0,0
conjecture,otaksuma,0,0,0,1,0,0,0,0,0,0
conjugal,aviollinen,0,0,0,0,0,0,0,0,0,0
conjugate,konjugaatti,0,0,0,0,0,0,0,0,0,0
conjugation,konjugaatio,0,0,0,0,0,0,0,0,0,0
conjunction,yhdessä,0,0,0,0,0,0,0,0,0,0
conjunctive,yhdistetyssä,0,0,0,0,0,0,0,0,0,0
conjure,loihtia,0,0,0,1,0,0,0,0,1,0
conjuring,loihtivat,0,1,0,0,0,0,0,0,0,0
connect,kytkeä,0,0,0,0,0,0,0,0,0,0
connected,kytketty,0,0,0,0,0,0,0,0,0,0
connection,yhteys,0,0,0,0,0,0,0,0,0,0
connective,yhdistävä,0,0,0,0,0,0,0,0,0,1
connoisseur,tuntija,1,0,0,0,0,0,1,0,0,1
conquer,valloittaa,0,0,0,0,0,0,0,0,0,0
conqueror,valloittaja,0,0,0,0,0,0,0,0,0,0
conquest,valloitus,0,1,1,0,0,1,0,0,0,0
conscience,omatunto,1,0,0,0,0,0,0,0,0,1
conscientious,tunnollinen,1,0,0,0,0,0,0,0,0,1
consciousness,tajunta,1,0,0,0,0,0,0,0,0,0
conscription,asevelvollisuus,0,0,0,0,0,0,0,0,0,0
consecration,vihkiminen,1,0,0,1,0,0,1,1,0,1
consecutive,peräkkäinen,0,0,0,0,0,0,0,0,0,0
consent,suostumus,0,0,0,0,0,0,0,0,0,0
consenting,suostumuksensa,0,0,0,0,0,0,0,0,0,0
consequence,seuraus,0,0,0,0,0,0,0,0,0,0
consequent,seuraava,0,0,0,1,0,0,0,0,0,0
conservation,säilyttäminen,1,0,0,1,0,0,0,0,0,1
conservatism,konservatismi,0,0,0,0,0,0,0,0,0,0
conservative,konservatiivinen,0,0,0,0,0,0,0,0,0,0
conservatory,konservatorio,0,0,0,0,0,0,0,0,0,0
conserve,säästää,1,0,0,0,0,0,0,0,0,0
considerable,huomattava,1,0,0,0,0,0,0,0,0,0
considerate,huomaavainen,1,0,0,0,0,0,0,0,0,1
consignee,vastaanottaja,0,0,0,0,0,0,0,0,0,0
consignment,tavaralähetys,0,0,0,0,0,0,0,0,0,0
consistency,johdonmukaisuus,1,0,0,0,0,0,0,0,0,1
consistent,johdonmukainen,0,0,0,0,0,0,0,0,0,0
consolation,lohdutus,0,0,0,0,0,0,0,0,0,0
console,konsoli,1,0,0,0,0,0,0,1,0,0
consolidate,lujittaa,0,0,0,0,0,0,0,0,0,0
consolidation,vakauttaminen,0,0,0,0,0,0,0,0,0,0
consonant,konsonantti,1,0,0,0,0,0,0,0,0,0
consort,puoliso,0,0,0,0,0,0,0,0,0,1
conspicuous,silmiinpistävä,0,0,0,0,0,0,0,0,0,0
conspiracy,salaliitto,0,0,0,0,0,1,0,0,0,0
conspirator,salaliittolainen,0,1,1,1,1,1,0,0,0,0
conspire,vehkeillä,0,1,0,0,0,1,0,0,0,0
constable,poliisikonstaapeli,0,0,0,0,0,0,0,0,0,1
constancy,muuttumattomuus,1,0,0,0,0,0,0,0,0,1
constant,jatkuva,1,0,0,0,0,0,0,0,0,1
constantly,alituisesti,0,0,0,0,0,0,0,0,0,1
constellation,tähdistö,0,0,0,0,0,0,0,0,0,0
consternation,tyrmistys,0,1,1,0,0,1,0,0,0,0
constipation,ummetus,0,1,0,0,1,0,0,0,0,0
constituent,aineosa,0,0,0,0,0,0,0,0,0,0
constituents,ainesosia,0,0,0,0,0,0,0,0,0,0
constitute,muodostaa,0,0,0,0,0,0,0,0,0,1
constitution,perustuslaki,0,0,0,0,0,0,0,0,0,0
constitutional,perustuslaillinen,1,0,0,0,0,0,0,0,0,1
constitutionality,perustuslainmukaisuuden,0,0,0,0,0,0,0,0,0,0
constrain,rajoittaa,0,1,0,0,0,1,0,0,0,0
constrained,rajoittavat,0,1,0,0,0,0,0,0,0,0
constraint,rajoite,0,1,1,0,0,1,0,1,0,0
construct,rakentaa,1,0,0,0,0,0,0,0,0,0
construction,rakentaminen,0,0,0,0,0,0,0,0,0,0
construe,tulkita,0,0,0,0,0,0,0,0,0,0
consul,konsuli,0,0,0,0,0,0,0,0,0,1
consult,konsultoida,0,0,0,0,0,0,0,0,0,1
consultation,kuuleminen,0,0,0,0,0,0,0,0,0,0
consume,kuluttaa,0,0,0,0,0,0,0,0,0,0
consuming,kuluttaa,0,0,0,0,0,0,0,0,0,0
consummate,täydellistää,1,0,0,0,0,0,0,0,0,0
consummation,täyttymys,0,0,0,0,0,0,0,0,0,0
consumption,kulutus,0,0,0,0,0,0,0,0,0,0
contact,ottaa yhteyttä,1,0,0,0,0,0,0,0,0,0
contagion,tartunta,0,1,0,1,1,1,0,0,0,0
contagious,tarttuva,0,1,0,0,1,1,0,0,0,0
containment,hillitseminen,0,0,0,0,0,0,0,0,0,0
contaminate,saastuttaa,0,1,0,0,1,0,0,0,0,0
contaminated,saastunut,0,1,0,0,1,1,0,1,0,0
contamination,saastuminen,0,1,0,0,1,0,0,0,0,0
contemplate,miettiä,0,0,0,0,0,0,0,0,0,0
contemplation,miettiminen,1,0,0,0,0,0,0,0,0,0
contemplative,mietiskelevä,0,0,0,0,0,0,0,0,0,0
contemporaneous,samanaikainen,0,0,0,0,0,0,0,0,0,0
contemporary,nykyajan,0,0,0,0,0,0,0,0,0,0
contempt,ylenkatse,0,1,1,0,1,1,0,0,0,0
contemptible,halveksittava,0,1,1,0,1,0,0,0,0,0
contemptuous,halveksiva,0,1,1,0,0,0,0,0,0,0
contending,väittäen,0,0,0,0,0,0,0,0,0,0
content,pitoisuus,1,0,0,0,0,0,1,0,0,1
contention,väite,0,0,0,0,0,0,0,0,0,0
contentious,riidanalainen,0,1,1,0,1,1,0,0,0,0
contents,sisällys,0,0,0,0,0,0,0,0,0,0
context,konteksti,0,0,0,0,0,0,0,0,0,0
contiguous,rajakkain,0,0,0,0,0,0,0,0,0,0
continence,pidättyvyys,0,0,0,0,0,0,0,0,0,0
continent,maanosa,0,0,0,0,0,0,0,0,0,0
continental,mannermainen,0,0,0,0,0,0,0,0,0,0
contingency,ennakoimattomia,0,0,0,0,0,0,0,0,0,0
contingent,satunnainen,0,0,0,1,0,0,0,0,0,0
continual,jatkuva,0,0,0,0,0,0,0,0,0,0
continually,jatkuvasti,0,0,0,0,0,0,0,0,0,0
continuance,jatkuminen,0,0,0,0,0,0,0,0,0,0
continuation,jatkaminen,0,0,0,1,0,0,0,0,0,0
continue,jatkaa,1,0,0,1,0,0,0,0,0,1
continued,jatkui,0,0,0,0,0,0,0,0,0,0
continuing,jatkuva,0,0,0,0,0,0,0,0,0,0
continuity,jatkuvuus,0,0,0,0,0,0,0,0,0,0
continuous,jatkuva,0,0,0,0,0,0,0,0,0,0
continuously,jatkuvasti,0,0,0,0,0,0,0,0,0,0
contour,muoto,1,0,0,0,0,0,0,0,0,0
contraband,salakuljetustavara,0,1,1,0,1,1,0,0,0,0
contract,sopimus,0,0,0,0,0,0,0,0,0,0
contracted,supistui,0,1,0,0,0,0,0,0,0,0
contractile,supistumiskykyinen,0,0,0,0,0,0,0,0,0,0
contracting,sopimukselle,0,0,0,0,0,0,0,0,0,0
contraction,supistuminen,0,0,0,0,0,0,0,0,0,0
contradict,ristiriidassa,0,1,1,0,0,0,0,0,0,0
contradiction,ristiriitaisuus,0,1,0,0,0,0,0,0,0,0
contradictory,ristiriitainen,0,1,0,0,0,0,0,0,0,0
contrary,päinvastainen,0,1,0,0,0,0,0,0,0,0
contrast,kontrasti,0,0,0,0,0,0,0,0,0,0
contrasted,contrasted,0,1,0,0,0,0,0,0,0,0
contravene,rikkoa,0,1,0,0,0,0,0,0,0,0
contravention,rikkomus,0,1,0,0,0,0,0,0,0,0
contribute,edistävät,1,0,0,0,0,0,0,0,0,0
contributor,avustaja,1,0,0,0,0,0,0,0,0,1
contrived,teennäinen,0,0,0,0,0,0,0,0,0,0
control,ohjaus,0,0,0,0,0,0,0,0,0,0
controversial,kiistanalainen,0,1,1,0,0,0,0,0,0,0
controversy,kiista,0,1,0,0,0,0,0,0,0,0
conundrum,arvoitus,0,0,0,0,0,0,0,0,0,0
convalescent,toipilas-,0,0,0,0,0,0,0,0,0,0
convection,konvektio,0,0,0,0,0,0,0,0,0,0
convene,kokoontua,0,0,0,0,0,0,0,0,0,0
convenience,sopivuus,1,0,0,0,0,0,0,0,0,0
conveniences,mukavuudet,0,0,0,0,0,0,0,0,0,0
convenient,mukava,1,0,0,0,0,0,0,0,0,0
convent,luostari,1,0,0,0,0,0,0,0,0,1
convention,sopimus,1,0,0,0,0,0,0,0,0,0
conventional,tavanomainen,0,0,0,0,0,0,0,0,0,0
converge,yhtyä,0,0,0,0,0,0,0,0,0,0
convergence,lähentyminen,0,0,0,1,0,0,0,0,0,0
convergent,konvergentti,0,0,0,0,0,0,0,0,0,0
conversant,perehtynyt,1,0,0,0,0,0,0,0,0,0
conversation,keskustelu,0,0,0,0,0,0,0,0,0,0
conversational,puhekielen,1,0,0,0,0,0,0,0,0,0
converse,päinvastainen,0,0,0,0,0,0,0,0,0,0
conversing,keskustellessaan,0,0,0,0,0,0,0,0,0,0
conversion,muuntaminen,0,0,0,0,0,0,0,0,0,0
convert,muuntaa,1,0,0,0,0,0,0,0,0,0
converted,muunnettu,0,0,0,0,0,0,0,0,0,0
convertible,avoauto,0,0,0,0,0,0,0,0,0,0
convex,kupera,0,0,0,0,0,0,0,0,0,0
convexity,kuperuus,0,0,0,0,0,0,0,0,0,0
convey,välittää,0,0,0,0,0,0,0,0,0,0
conveyance,kuljetus,0,0,0,0,0,0,0,0,0,0
conveyancing,luovutuskirjoja,0,0,0,0,0,0,0,0,0,1
convict,tuomittu,0,1,1,0,1,1,0,1,0,0
conviction,vakaumus,0,1,0,0,0,0,0,0,0,0
convince,vakuuttaa,1,0,0,1,0,0,0,0,0,1
convinced,vakuuttunut,0,0,0,0,0,0,0,0,0,1
convincing,vakuuttava,0,0,0,0,0,0,0,0,0,1
convocation,kokous,0,0,0,0,0,0,0,0,0,0
convoluted,mutkikas,0,0,0,0,0,0,0,0,0,0
convolution,poimu,0,0,0,0,0,0,0,0,0,0
convoy,saattue,0,0,0,0,0,0,0,0,0,0
coo,kujertaa,0,0,0,0,0,0,0,0,0,0
cook,kokki,0,0,0,0,0,0,0,0,0,0
cookery,ruoanlaitto,0,0,0,0,0,0,0,0,0,0
cooking,ruoanlaitto,0,0,0,0,0,0,0,0,0,0
cool,viileä,1,0,0,0,0,0,0,0,0,0
cooler,jäähdytin,0,0,0,0,0,0,0,0,0,0
cooling,jäähdytys,0,0,0,0,0,0,0,0,0,0
coolness,viileys,1,0,0,0,0,0,0,0,0,0
coop,coop,0,1,1,0,1,0,0,0,0,0
cooperate,tehdä yhteistyötä,1,0,0,0,0,0,0,0,0,0
cooperating,yhteistyössä,1,0,0,0,0,0,0,0,0,1
cooperation,yhteistyö,1,0,0,0,0,0,0,0,0,1
cooperative,osuuskunta,1,0,0,0,0,0,0,0,0,1
coordinate,koordinoida,0,0,0,0,0,0,0,0,0,0
cop,poliisi,0,0,0,0,0,1,0,0,0,1
copious,runsas,0,0,0,0,0,0,0,0,0,0
copper,kupari-,0,0,0,0,0,0,0,0,0,0
copy,kopio,0,1,0,0,0,0,0,0,0,0
copycat,apina,0,1,1,0,1,0,0,0,0,0
copying,kopiointi,0,0,0,0,0,0,0,0,0,0
copyright,tekijänoikeus,0,0,0,0,0,0,0,0,0,0
coral,koralli,0,0,0,0,0,0,0,0,0,0
cord,johto,0,0,0,0,0,0,0,0,0,0
cordon,nyöri,0,0,0,0,0,0,0,0,0,0
corduroy,vakosametti,0,0,0,0,0,0,0,0,0,0
core,ydin,1,0,0,0,0,0,0,0,0,0
cork,korkki,0,0,0,0,0,0,0,0,0,0
corkscrew,korkkiruuvi,0,0,0,0,0,0,0,0,0,0
corn,maissi,0,0,0,0,0,0,0,0,0,0
cornea,sarveiskalvo,0,0,0,0,0,0,0,0,0,0
corner,kulma,0,0,0,0,0,0,0,0,0,0
cornet,kornetti,0,0,0,0,0,0,0,0,0,0
cornice,reunuslista,0,0,0,0,0,0,0,0,0,0
cornstarch,maissitärkkelys,0,0,0,0,0,0,0,0,0,0
corollary,luonnollinen seuraus,0,0,0,0,0,0,0,0,0,0
corona,korona,0,0,0,0,0,0,0,0,0,0
coronation,kruunajaiset,1,0,0,0,0,0,1,0,0,1
coroner,oikeuslääkäri,0,1,0,0,0,0,0,0,0,0
corporal,ruumiillinen,0,1,0,0,0,0,0,0,0,0
corporate,yritys-,0,0,0,0,0,0,0,0,0,0
corporation,yhtiö,1,0,0,0,0,0,0,0,0,1
corporeal,ruumiillinen,1,0,0,0,0,0,0,0,0,0
corps,joukot,0,0,0,0,0,0,0,0,0,0
corpse,ruumis,0,1,0,0,1,0,0,1,0,0
corpus,corpus,0,0,0,0,0,0,0,0,0,0
corral,aitaus,0,0,0,0,0,0,0,0,0,0
correction,korjaus,0,1,0,0,0,0,0,0,0,0
corrective,korjaavia,1,0,0,0,0,0,0,0,0,0
correctness,oikeellisuutta,0,0,0,0,0,0,0,0,0,1
correlation,korrelaatio,0,0,0,0,0,0,0,0,0,0
correlative,korrelatiivinen,0,0,0,0,0,0,0,0,0,0
correspond,vastata,0,0,0,0,0,0,0,0,0,0
correspondence,kirjeenvaihto,1,0,0,1,0,0,0,0,0,0
correspondent,kirjeenvaihtaja,0,0,0,0,0,0,0,0,0,0
corridor,käytävä,0,0,0,0,0,0,0,0,0,0
corroborate,vahvistaa,1,0,0,0,0,0,0,0,0,1
corroboration,vahvistus,0,0,0,0,0,0,0,0,0,1
corrosion,korroosio,0,1,0,0,0,0,0,0,0,0
corrosive,syövyttävä,0,1,0,0,0,1,0,0,0,0
corrupt,turmeltunut,0,1,0,0,0,0,0,0,0,0
corrupting,turmelee,0,1,1,0,1,1,0,1,0,0
corruption,korruptio,0,1,0,0,1,0,0,0,0,0
corse,NO TRANSLATION,0,0,0,0,0,0,0,1,0,0
corset,korsetti,0,0,0,0,0,0,0,0,0,0
cortex,aivokuori,0,0,0,0,0,0,0,0,0,0
cortical,aivokuoren,0,0,0,0,0,0,0,0,0,0
corvette,korvetti,0,0,0,0,0,0,0,0,0,0
cosmetic,kosmeettinen,0,0,0,0,0,0,0,0,0,0
cosmetics,kosmetiikka,0,0,0,0,0,0,0,0,0,0
cosmic,kosminen,0,0,0,0,0,0,0,0,0,0
cosmology,kosmologia,0,0,0,0,0,0,0,0,0,0
cosmopolitan,kosmopoliittinen,1,0,0,0,0,0,0,0,0,1
cosmos,maailmankaikkeus,0,0,0,0,0,0,0,0,0,0
cost,kustannus,0,0,0,0,0,0,0,0,0,0
costly,kallis,0,0,0,0,0,0,0,0,0,0
costume,puku,0,0,0,0,0,0,0,0,0,0
cosy,kodikas,1,0,0,0,0,0,0,0,0,0
cot,vauvansänky,0,0,0,0,0,0,0,0,0,0
cote,katos,0,0,0,0,0,0,0,0,0,0
cottage,mökki,0,0,0,0,0,0,0,0,0,0
cotton,puuvilla,0,0,0,0,0,0,0,0,0,0
couch,sohva,0,0,0,0,0,0,0,1,0,0
cougar,puuma,0,0,0,0,0,0,0,0,0,0
cough,yskä,0,1,0,0,1,0,0,0,0,0
council,neuvosto,1,0,0,1,0,0,0,0,0,1
counsel,neuvo,1,0,0,0,0,0,0,0,0,1
counsellor,neuvonantaja,0,1,1,0,0,1,0,0,0,1
counselor,neuvonantaja,1,0,0,0,0,0,0,0,0,1
count,Kreivi,1,0,0,0,0,0,0,0,0,1
countdown,lähtölaskenta,0,0,0,1,0,0,0,0,0,0
countenance,ilme,0,0,0,0,0,0,0,0,0,0
counter,laskuri,0,0,0,0,0,0,0,0,0,0
counteract,ehkäistä,0,0,0,0,0,0,0,0,0,0
counterbalance,vastapaino,0,0,0,0,0,0,0,0,0,0
counterclaim,vastakanne,0,0,0,0,0,0,0,0,0,0
counterpart,vastine,0,0,0,0,0,0,0,0,0,0
countess,kreivitär,1,0,0,0,0,0,0,0,0,0
countless,lukematon,0,0,0,0,0,0,0,0,0,0
country,maa,0,0,0,0,0,0,0,0,0,0
countryman,maanmies,0,0,0,0,0,0,0,0,0,1
counts,laskee,0,0,0,0,0,0,0,0,0,0
county,lääni,0,0,0,0,0,0,0,0,0,1
coup,vallankaappaus,0,0,1,0,0,0,0,0,1,0
couple,pari,0,0,0,0,0,0,0,0,0,0
coupled,kytketty,0,0,0,0,0,0,0,0,0,0
coupon,kuponki,0,0,0,0,0,0,0,0,0,0
courage,rohkeus,1,0,0,0,0,0,0,0,0,0
courageous,rohkea,1,0,0,0,0,1,0,0,0,0
courier,kuriiri,0,0,0,0,0,0,0,0,0,1
courses,kurssit,0,0,0,0,0,0,0,0,0,0
coursing,jäniksenajo,0,1,0,0,0,0,0,0,0,0
court,tuomioistuin,0,0,1,1,0,1,0,0,0,0
